,2018_Rank,City,State,Abbreviations,webpage,2018_Estimate,2010_Census,%Change,2016_land_area(sq mi),2016_population_density(sq mi),Location,latitude,longitude,White%,Black%
194,195,Roseville,California,CA,"https://en.wikipedia.org/wiki/Roseville,_California",139117,118788,17.11,43.0,3085.0,38°46′08″N 121°19′08″W﻿ / ﻿38.7690°N 121.3189°W,38.768888,-121.31888,79.3,2.0
195,196,Denton,Texas,TX,"https://en.wikipedia.org/wiki/Denton,_Texas",138541,113383,22.19,93.4,1433.0,33°13′00″N 97°08′29″W﻿ / ﻿33.2166°N 97.1414°W,33.216666,-97.141388,73.8,10.3
196,197,Waco,Texas,TX,"https://en.wikipedia.org/wiki/Waco,_Texas",138183,124805,10.72,89.0,1510.0,31°33′36″N 97°11′10″W﻿ / ﻿31.5601°N 97.1860°W,31.56,-97.186111,60.78,2.65
197,198,Surprise,Arizona,AZ,"https://en.wikipedia.org/wiki/Surprise,_Arizona",138161,117517,17.57,107.9,1230.0,33°40′14″N 112°27′10″W﻿ / ﻿33.6706°N 112.4527°W,33.670555,-112.45277,71.2,5.1
198,199,Carrollton,Texas,TX,"https://en.wikipedia.org/wiki/Carrollton,_Texas",136879,119097,14.93,36.3,3674.0,32°59′18″N 96°53′59″W﻿ / ﻿32.9884°N 96.8998°W,32.988333,-96.899722,63.6,8.4
199,200,West Valley City,Utah,UT,"https://en.wikipedia.org/wiki/West_Valley_City,_Utah",136401,129480,5.35,35.5,3847.0,40°41′19″N 112°00′42″W﻿ / ﻿40.6885°N 112.0118°W,40.688611,-112.01166,46.8,2.4
200,201,Charleston,South Carolina,SC,"https://en.wikipedia.org/wiki/Charleston,_South_Carolina",136208,120083,13.43,109.0,1233.0,32°49′04″N 79°57′32″W﻿ / ﻿32.8179°N 79.9590°W,32.817777,-79.958888,70.2,25.4
201,202,Warren,Michigan,MI,"https://en.wikipedia.org/wiki/Warren,_Michigan",134587,134056,0.4,34.4,3928.0,42°29′34″N 83°01′30″W﻿ / ﻿42.4929°N 83.0250°W,42.492777,-83.025,78.4,13.5
202,203,Hampton,Virginia,VA,"https://en.wikipedia.org/wiki/Hampton,_Virginia",134313,137436,-2.27,51.5,2629.0,37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W,37.048055,-76.297222,42.7,49.6
203,204,Gainesville,Florida,FL,"https://en.wikipedia.org/wiki/Gainesville,_Florida",133857,124354,7.64,62.3,2112.0,29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W,29.678888,-82.346111,64.9,23.0
204,205,Visalia,California,CA,"https://en.wikipedia.org/wiki/Visalia,_California",133800,124442,7.52,37.5,3495.0,36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W,36.327222,-119.32888,64.5,40.6
205,206,Coral Springs,Florida,FL,"https://en.wikipedia.org/wiki/Coral_Springs,_Florida",133507,121096,10.25,23.8,5465.0,26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W,26.270833,-80.259166,69.2,17.9
206,207,Columbia,South Carolina,SC,"https://en.wikipedia.org/wiki/Columbia,_South_Carolina",133451,129272,3.23,133.5,1006.0,34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W,34.029166,-80.898055,51.27,2.2
207,208,Cedar Rapids,Iowa,IA,"https://en.wikipedia.org/wiki/Cedar_Rapids,_Iowa",133174,126326,5.42,70.8,1852.0,41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W,41.966944,-91.677777,91.9,5.58
208,209,Sterling Heights,Michigan,MI,"https://en.wikipedia.org/wiki/Sterling_Heights,_Michigan",132964,129699,2.52,36.5,3628.0,42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W,42.581111,-83.030277,85.1,5.2
209,210,New Haven,Connecticut,CT,"https://en.wikipedia.org/wiki/New_Haven,_Connecticut",130418,129779,0.49,18.7,6948.0,41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W,41.310833,-72.925,42.6,35.4
210,211,Stamford,Connecticut,CT,"https://en.wikipedia.org/wiki/Stamford,_Connecticut",129775,122643,5.82,37.6,3434.0,41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W,41.08,-73.546111,94.6,23.8
211,212,Concord,California,CA,"https://en.wikipedia.org/wiki/Concord,_California",129688,122067,6.24,30.5,4221.0,37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W,37.972222,-122.00166,50.3,3.3
212,213,Kent,Washington,WA,"https://en.wikipedia.org/wiki/Kent,_Washington",129618,92411,40.26,33.7,3784.0,47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W,47.388055,-122.21277,55.5,11.3
213,214,Santa Clara,California,CA,"https://en.wikipedia.org/wiki/Santa_Clara,_California",129488,116468,11.18,18.4,6845.0,37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W,37.364722,-121.96777,36.1,2.5
214,215,Elizabeth,New Jersey,NJ,"https://en.wikipedia.org/wiki/Elizabeth,_New_Jersey",128885,124969,3.13,12.3,10459.0,40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W,40.666388,-74.193611,55.78,9.98
215,216,Round Rock,Texas,TX,"https://en.wikipedia.org/wiki/Round_Rock,_Texas",128739,99887,28.88,35.6,3396.0,30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W,30.525277,-97.666111,76.4,9.4
216,217,Thousand Oaks,California,CA,"https://en.wikipedia.org/wiki/Thousand_Oaks,_California",127690,126683,0.79,55.2,2335.0,34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W,34.193333,-118.87416,80.3,1.3
217,218,Lafayette,Louisiana,LA,"https://en.wikipedia.org/wiki/Lafayette,_Louisiana",126143,120623,4.58,53.8,2372.0,30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W,30.2075,-92.028611,68.23,8.51
218,219,Athens,Georgia,GA,"https://en.wikipedia.org/wiki/Athens,_Georgia",125964,115452,9.11,116.4,1060.0,33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W,33.949722,-83.369999,64.71,7.37
219,220,Topeka,Kansas,KS,"https://en.wikipedia.org/wiki/Topeka,_Kansas",125904,127473,-1.23,61.5,2062.0,39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W,39.034722,-95.696111,91.8,11.3
220,221,Simi Valley,California,CA,"https://en.wikipedia.org/wiki/Simi_Valley,_California",125851,124237,1.3,41.5,3044.0,34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W,34.266944,-118.74861,75.3,1.4
221,222,Fargo,North Dakota,ND,"https://en.wikipedia.org/wiki/Fargo,_North_Dakota",124844,105549,18.28,49.3,2450.0,46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W,46.865277,-96.828888,90.2,2.7
222,223,Norman,Oklahoma,OK,"https://en.wikipedia.org/wiki/Norman,_Oklahoma",123471,110925,11.31,178.8,683.0,35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W,35.240555,-97.345277,84.7,4.3
223,224,Columbia,Missouri,MO,"https://en.wikipedia.org/wiki/Columbia,_Missouri",123180,108500,13.53,65.0,1856.0,38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W,38.951666,-92.328611,79.0,11.3
224,225,Abilene,Texas,TX,"https://en.wikipedia.org/wiki/Abilene,_Texas",122999,117063,5.07,106.7,1146.0,32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W,32.454444,-99.738055,62.4,9.6
225,226,Wilmington,North Carolina,NC,"https://en.wikipedia.org/wiki/Wilmington,_North_Carolina",122607,106476,15.15,51.6,2278.0,34°12′33″N 77°53′09″W﻿ / ﻿34.2092°N 77.8858°W,34.209166,-77.885833,73.5,19.9
226,227,Hartford,Connecticut,CT,"https://en.wikipedia.org/wiki/Hartford,_Connecticut",122587,124775,-1.75,17.4,7083.0,41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W,41.765833,-72.681666,29.8,38.7
227,228,Victorville,California,CA,"https://en.wikipedia.org/wiki/Victorville,_California",122312,115903,5.53,73.3,1668.0,34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W,34.527777,-117.35361,48.5,16.8
228,229,Pearland,Texas,TX,"https://en.wikipedia.org/wiki/Pearland,_Texas",122149,91252,33.86,46.3,2453.0,29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W,29.555833,-95.323055,62.0,16.4
229,230,Vallejo,California,CA,"https://en.wikipedia.org/wiki/Vallejo,_California",121913,115942,5.15,30.7,3951.0,38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W,38.107777,-122.26388,32.8,22.1
